Day,Zootopia
2015-12-04,3
2015-12-05,3
2015-12-06,3
2015-12-07,2
2015-12-08,2
2015-12-09,2
2015-12-10,2
2015-12-11,3
2015-12-12,3
2015-12-13,2
2015-12-14,2
2015-12-15,2
2015-12-16,2
2015-12-17,2
2015-12-18,3
2015-12-19,6
2015-12-20,6
2015-12-21,5
2015-12-22,5
2015-12-23,5
2015-12-24,7
2015-12-25,7
2015-12-26,6
2015-12-27,6
2015-12-28,4
2015-12-29,5
2015-12-30,5
2015-12-31,9
2016-01-01,15
2016-01-02,11
2016-01-03,10
2016-01-04,8
2016-01-05,7
2016-01-06,7
2016-01-07,7
2016-01-08,7
2016-01-09,8
2016-01-10,7
2016-01-11,5
2016-01-12,6
2016-01-13,6
2016-01-14,6
2016-01-15,7
2016-01-16,8
2016-01-17,7
2016-01-18,7
2016-01-19,6
2016-01-20,6
2016-01-21,6
2016-01-22,6
2016-01-23,8
2016-01-24,8
2016-01-25,6
2016-01-26,7
2016-01-27,6
2016-01-28,7
2016-01-29,8
2016-01-30,12
2016-01-31,11
2016-02-01,9
2016-02-02,8
2016-02-03,8
2016-02-04,9
2016-02-05,9
2016-02-06,13
2016-02-07,14
2016-02-08,11
2016-02-09,11
2016-02-10,13
2016-02-11,12
2016-02-12,16
2016-02-13,23
2016-02-14,26
2016-02-15,18
2016-02-16,18
2016-02-17,24
2016-02-18,30
2016-02-19,34
2016-02-20,51
2016-02-21,53
2016-02-22,35
2016-02-23,33
2016-02-24,34
2016-02-25,36
2016-02-26,43
2016-02-27,66
2016-02-28,68
2016-02-29,44
2016-03-01,42
2016-03-02,48
2016-03-03,59
2016-03-04,100
