Week,Findingdory
2015-06-21,1
2015-06-28,1
2015-07-05,1
2015-07-12,1
2015-07-19,2
2015-07-26,1
2015-08-02,1
2015-08-09,3
2015-08-16,4
2015-08-23,2
2015-08-30,2
2015-09-06,2
2015-09-13,1
2015-09-20,1
2015-09-27,1
2015-10-04,1
2015-10-11,2
2015-10-18,1
2015-10-25,1
2015-11-01,1
2015-11-08,14
2015-11-15,4
2015-11-22,3
2015-11-29,2
2015-12-06,2
2015-12-13,2
2015-12-20,2
2015-12-27,3
2016-01-03,3
2016-01-10,3
2016-01-17,2
2016-01-24,2
2016-01-31,2
2016-02-07,3
2016-02-14,2
2016-02-21,3
2016-02-28,10
2016-03-06,4
2016-03-13,3
2016-03-20,4
2016-03-27,4
2016-04-03,3
2016-04-10,3
2016-04-17,4
2016-04-24,4
2016-05-01,5
2016-05-08,6
2016-05-15,7
2016-05-22,13
2016-05-29,19
2016-06-05,28
2016-06-12,100
