Category: All categories

Week,Suicide Squad: (Worldwide)
2015-08-09,3
2015-08-16,3
2015-08-23,2
2015-08-30,2
2015-09-06,2
2015-09-13,1
2015-09-20,1
2015-09-27,1
2015-10-04,2
2015-10-11,1
2015-10-18,2
2015-10-25,3
2015-11-01,2
2015-11-08,1
2015-11-15,1
2015-11-22,1
2015-11-29,2
2015-12-06,1
2015-12-13,2
2015-12-20,2
2015-12-27,2
2016-01-03,2
2016-01-10,2
2016-01-17,14
2016-01-24,6
2016-01-31,3
2016-02-07,3
2016-02-14,3
2016-02-21,2
2016-02-28,2
2016-03-06,2
2016-03-13,2
2016-03-20,3
2016-03-27,5
2016-04-03,3
2016-04-10,13
2016-04-17,5
2016-04-24,4
2016-05-01,3
2016-05-08,3
2016-05-15,3
2016-05-22,3
2016-05-29,4
2016-06-05,4
2016-06-12,4
2016-06-19,6
2016-06-26,7
2016-07-03,9
2016-07-10,11
2016-07-17,16
2016-07-24,26
2016-07-31,100
