Category: All categories

Week,Rogue One: (Worldwide)
2015-12-20,4
2015-12-27,4
2016-01-03,3
2016-01-10,2
2016-01-17,2
2016-01-24,1
2016-01-31,1
2016-02-07,1
2016-02-14,1
2016-02-21,1
2016-02-28,1
2016-03-06,1
2016-03-13,1
2016-03-20,1
2016-03-27,1
2016-04-03,20
2016-04-10,7
2016-04-17,2
2016-04-24,2
2016-05-01,2
2016-05-08,2
2016-05-15,2
2016-05-22,1
2016-05-29,2
2016-06-05,1
2016-06-12,1
2016-06-19,2
2016-06-26,2
2016-07-03,1
2016-07-10,5
2016-07-17,4
2016-07-24,2
2016-07-31,2
2016-08-07,11
2016-08-14,4
2016-08-21,2
2016-08-28,2
2016-09-04,2
2016-09-11,2
2016-09-18,2
2016-09-25,3
2016-10-02,3
2016-10-09,9
2016-10-16,5
2016-10-23,3
2016-10-30,4
2016-11-06,5
2016-11-13,6
2016-11-20,10
2016-11-27,13
2016-12-04,17
2016-12-11,100
