Category: All categories

Week,Manchester by the Sea: (Worldwide)
2015-12-20,1
2015-12-27,1
2016-01-03,1
2016-01-10,0
2016-01-17,3
2016-01-24,29
2016-01-31,8
2016-02-07,4
2016-02-14,1
2016-02-21,1
2016-02-28,2
2016-03-06,1
2016-03-13,1
2016-03-20,1
2016-03-27,0
2016-04-03,0
2016-04-10,3
2016-04-17,0
2016-04-24,1
2016-05-01,1
2016-05-08,0
2016-05-15,2
2016-05-22,2
2016-05-29,1
2016-06-05,1
2016-06-12,1
2016-06-19,1
2016-06-26,2
2016-07-03,1
2016-07-10,1
2016-07-17,3
2016-07-24,2
2016-07-31,2
2016-08-07,1
2016-08-14,2
2016-08-21,12
2016-08-28,10
2016-09-04,8
2016-09-11,7
2016-09-18,5
2016-09-25,6
2016-10-02,5
2016-10-09,6
2016-10-16,7
2016-10-23,7
2016-10-30,8
2016-11-06,20
2016-11-13,48
2016-11-20,57
2016-11-27,82
2016-12-04,64
2016-12-11,100
