Category: All categories

Week,The Secret Life of Pets: (Worldwide)
2015-07-12,4
2015-07-19,3
2015-07-26,3
2015-08-02,3
2015-08-09,2
2015-08-16,2
2015-08-23,2
2015-08-30,2
2015-09-06,2
2015-09-13,2
2015-09-20,2
2015-09-27,2
2015-10-04,2
2015-10-11,2
2015-10-18,2
2015-10-25,2
2015-11-01,2
2015-11-08,2
2015-11-15,2
2015-11-22,4
2015-11-29,4
2015-12-06,3
2015-12-13,3
2015-12-20,5
2015-12-27,5
2016-01-03,4
2016-01-10,5
2016-01-17,5
2016-01-24,6
2016-01-31,6
2016-02-07,7
2016-02-14,5
2016-02-21,4
2016-02-28,5
2016-03-06,5
2016-03-13,4
2016-03-20,5
2016-03-27,5
2016-04-03,4
2016-04-10,6
2016-04-17,5
2016-04-24,5
2016-05-01,5
2016-05-08,5
2016-05-15,6
2016-05-22,8
2016-05-29,11
2016-06-05,13
2016-06-12,22
2016-06-19,30
2016-06-26,39
2016-07-03,100
