Category: All categories

Week,Star Trek Beyond: (Worldwide)
2015-07-26,3
2015-08-02,2
2015-08-09,2
2015-08-16,2
2015-08-23,3
2015-08-30,2
2015-09-06,2
2015-09-13,3
2015-09-20,2
2015-09-27,2
2015-10-04,2
2015-10-11,2
2015-10-18,2
2015-10-25,2
2015-11-01,4
2015-11-08,2
2015-11-15,1
2015-11-22,2
2015-11-29,2
2015-12-06,3
2015-12-13,28
2015-12-20,8
2015-12-27,5
2016-01-03,4
2016-01-10,3
2016-01-17,3
2016-01-24,3
2016-01-31,2
2016-02-07,2
2016-02-14,3
2016-02-21,2
2016-02-28,2
2016-03-06,3
2016-03-13,3
2016-03-20,3
2016-03-27,2
2016-04-03,3
2016-04-10,3
2016-04-17,3
2016-04-24,3
2016-05-01,3
2016-05-08,3
2016-05-15,8
2016-05-22,14
2016-05-29,6
2016-06-05,5
2016-06-12,6
2016-06-19,12
2016-06-26,15
2016-07-03,18
2016-07-10,28
2016-07-17,100
